Service,Station,Lines,Latitude,Longitude,isOperating
BTS,Siam,grey,13.745511,100.53388,TRUE
BTS,National Stadium,blue,13.746345,100.528863,TRUE
BTS,Ratchadamri,blue,13.7395,100.539267,TRUE
BTS,Sala Daeng,blue,13.728426,100.534436,TRUE
BTS,Chong Nonsi,blue,13.723851,100.52945,TRUE
BTS,Surasak,blue,13.719115,100.521559,TRUE
BTS,Saphan Taksin,blue,13.718673,100.514051,TRUE
BTS,Krung Thon Buri,blue,13.720699,100.502554,TRUE
BTS,Wongwian Yai,blue,13.720869,100.495289,TRUE
BTS,Pho Nimit,blue,13.719086,100.486158,TRUE
BTS,Talat Phlu,blue,13.714356,100.476752,TRUE
BTS,Wutthakat,blue,13.712801,100.468952,TRUE
BTS,Bang Wa,blue,13.720749,100.457912,TRUE
BTS,Kasetsart University,green,13.842162,100.577252,TRUE
BTS,Sena Nikhom,green,13.836289,100.573709,TRUE
BTS,Ratchayothin,green,13.829643,100.569857,TRUE
BTS,Phahonyothin 24,green,13.824002,100.566516,TRUE
BTS,Ha Yaek Lat Phrao,green,13.816496,100.562085,TRUE
BTS,Mo Chit,green,13.802641,100.554015,TRUE
BTS,Saphan Khwai,green,13.79374,100.549876,TRUE
BTS,Ari,green,13.779749,100.54448,TRUE
BTS,Sanam Pao,green,13.772594,100.542264,TRUE
BTS,Victory Monument,green,13.762738,100.537183,TRUE
BTS,Phaya Thai,green,13.756766,100.533882,TRUE
BTS,Ratchathewi,green,13.751888,100.531708,TRUE
BTS,Chit Lom,green,13.744002,100.543035,TRUE
BTS,Phloen Chit,green,13.742926,100.548934,TRUE
BTS,Nana,green,13.74039,100.555259,TRUE
BTS,Asok,green,13.736951,100.560239,TRUE
BTS,Phrom Phong,green,13.730542,100.56977,TRUE
BTS,Thong Lor,green,13.7241,100.578505,TRUE
BTS,Phra Khanong,green,13.71531,100.591326,TRUE
BTS,On Nut,green,13.705716,100.601169,TRUE
BTS,Bang Chak,green,13.696805,100.605479,TRUE
BTS,Punnawithi,green,13.689174,100.608902,TRUE
BTS,Udom Suk,green,13.679954,100.609341,TRUE
BTS,Bang Na,green,13.668099,100.60482,TRUE
BTS,Bearing,green,13.661259,100.601705,TRUE
Airport Link,Phaya Thai,orange,13.756558,100.534818,TRUE
Airport Link,Ratchaprarop,orange,13.754926,100.542087,TRUE
Airport Link,Makkasan,orange,13.750684,100.560486,TRUE
Airport Link,Ramkamhaeng,orange,13.743132,100.600115,TRUE
Airport Link,Hua Mak,orange,13.737782,100.645114,TRUE
Airport Link,Ban Thap Chang,orange,13.733045,100.68865,TRUE
Airport Link,Latkra Bang,orange,13.727532,100.748471,TRUE
MRT,Wong Sawang,purple,13.829717,100.526482,TRUE
MRT,Bang Son,purple,13.820215,100.532606,TRUE
MRT,Lak Song,darkblue,13.710788,100.409565,TRUE
MRT,Bang Khae,darkblue,13.712018,100.421713,TRUE
MRT,Phasi Charoen,darkblue,13.712797,100.434432,TRUE
MRT,Phetkasem 48,darkblue,13.715517,100.445713,TRUE
MRT,Bang Wa,darkblue,13.72015,100.457129,TRUE
MRT,Bang Phai,darkblue,13.724632,100.467106,TRUE
MRT,Tha Phra,darkblue,13.729663,100.474254,TRUE
MRT,Charan 13,darkblue,13.74009,100.470783,TRUE
MRT,Fai Chai,darkblue,13.755676,100.469379,TRUE
MRT,Bang Khun Non,darkblue,13.763255,100.473394,TRUE
MRT,Bang Yi Khan,darkblue,13.777441,100.485447,TRUE
MRT,Sirindhorn,darkblue,13.783784,100.493432,TRUE
MRT,Bang Phlat,darkblue,13.792322,100.504975,TRUE
MRT,Bang O,darkblue,13.798699,100.509937,TRUE
MRT,Bang Pho,darkblue,13.806192,100.520939,TRUE
MRT,Tao Poon,grey,13.805897,100.531037,TRUE
MRT,Bang Sue,darkblue,13.803313,100.539341,TRUE
MRT,Kamphaeng Phet,darkblue,13.797832,100.547613,TRUE
MRT,Chatuchak Park,darkblue,13.802354,100.553943,TRUE
MRT,Phahon Yothin,darkblue,13.813751,100.560158,TRUE
MRT,Lat Phrao,darkblue,13.8055885,100.573655,TRUE
MRT,Ratchadaphisek,darkblue,13.798998,100.57477,TRUE
MRT,Sutthisan,darkblue,13.78974,100.574314,TRUE
MRT,Huai Khwang,darkblue,13.778546,100.5737,TRUE
MRT,Thailand Cultural Centre,darkblue,13.766102,100.570094,TRUE
MRT,Phra Ram 9 ,darkblue,13.757809,100.565475,TRUE
MRT,Phetchaburi,darkblue,13.748665,100.563341,TRUE
MRT,Sukhumvit,darkblue,13.738501,100.561704,TRUE
MRT,Queen Sirikit National Convention Centre,darkblue,13.723053,100.560103,TRUE
MRT,Khlong Toei,darkblue,13.722394,100.553948,TRUE
MRT,Lumphini,darkblue,13.725715,100.545779,TRUE
MRT,Si Lom,darkblue,13.729298,100.53664,TRUE
MRT,Sam Yan,darkblue,13.732226,100.530009,TRUE
MRT,Hua Lamphong,darkblue,13.73767,100.51718,TRUE
MRT,Wat Mangkon,darkblue,13.742039,100.510162,TRUE
MRT,Sam Yot,darkblue,13.746944,100.502064,TRUE
MRT,Sanam Chai,darkblue,13.744005,100.494648,TRUE
MRT,Itsaraphap ,darkblue,13.738238,100.485263,TRUE
